name,sold_date,price,seller_country,seller_name,product_condition
Konsola Sony PlayStation 4 Pro 1 TB - czarna (PS4 Pro) pakiet z kontrolerem,Sprzedane  23 gru 2024,"817,36 zł",z: Stany Zjednoczone,"madera_mda (77) 98,7%",Używany
PS4 PS5 Nowe Sony PlayStation 4 5 Zamienne etui do gier Shell Storage Case,Sprzedane  23 gru 2024,"40,17 zł",z: Stany Zjednoczone,"rvagames (2 506) 99,9%",Fabrycznie nowy
Playstation 4 Zamienne niebieskie etui do gier Nowe oficjalne miejsce na 1 dysk,Sprzedane  22 gru 2024,"15,74 zł",z: Wielka Brytania,"granbazaar-uk (10 319) 99,7%",Fabrycznie nowy
Konsola PlayStation 4 Slim Sony PS4 + 1 kontroler 1 TB Testowana CUH-2215B + przewody,Sprzedane  22 gru 2024,"531,27 zł",z: Stany Zjednoczone,"hydras.creations (197) 99,4%",Używany
Konsola do gier Sony Playstation 4 Pro 1 TB - czarna - 1x biały kontroler,Sprzedane  22 gru 2024,"713,84 zł",z: Wielka Brytania,"laubor-7103 (41) 93,6%",Używany
Konsola do gier Sony PlayStation 4 Pro (PS4 Pro) 1 TB cuh-7125B bez kabla HDMI,Sprzedane  22 gru 2024,"613,05 zł",z: Stany Zjednoczone,"jojoscollection (2 131) 99,3%",Używany
Sony Playstation 4 CUH-1115A PS4 Konsola System 500GB - JAK JEST SZYBKA WYSYŁKA,Sprzedane  22 gru 2024,"245,22 zł",z: Stany Zjednoczone,"fastcashpawnbroker3 (10 833) 99,2%",Tylko na części
Konsola Sony PlayStation 4 Pro 1 TB - czarna (PS4 Pro) z 2 kontrolerami,Sprzedane  22 gru 2024,"700,92 zł",z: Stany Zjednoczone,cmben-17 (56) 100%,Używany
Konsola Sony PlayStation 4 Pro Death Stranding pakiet PS4 edycja limitowana CIB,Sprzedane  22 gru 2024,"1 021,71 zł",z: Stany Zjednoczone,"jacobshobbyshop (610) 99,5%",Używany
RP2040 Advanced Breakout Board USB Passhrough Fighting Board do Arcade PC PS4,Sprzedane  22 gru 2024,"140,71 zł",z: Chiny,"sinoarcade (4 934) 98,9%",Fabrycznie nowy
PS4 Limitowana edycja Days Of Play Blue 1 TB Box / Tylko pudełko z wkładką ***Bez systemu!!,Sprzedane  22 gru 2024,"150,81 zł",z: Stany Zjednoczone,1craftybeach (612) 100%,Używany
Oficjalny czujnik ruchu aparatu Sony PS4 VR ze stojakiem CUH-ZEY2 czarny testowany,Sprzedane  22 gru 2024,"163,28 zł",z: Stany Zjednoczone,"ahaleofasale (3 437) 99,9%",Używany
Etui EA Battlefield V SteelBook (TYLKO BEZ GRY/ETUI),Sprzedane  22 gru 2024,"20,11 zł",z: Stany Zjednoczone,6jak601 (21) 50%,Nowy (inny)
"PlayStation 4 Pro, doskonały stan działa świetnie, jeden kontroler",Sprzedane  22 gru 2024,"519,05 zł",z: Stany Zjednoczone,deckphx (308) 100%,Używany
Aparat Sony PlayStation 4 V2 - CUH-ZEY2 - bez podstawki,Sprzedane  22 gru 2024,"97,56 zł",z: Wielka Brytania,tech-trader01 (300) 100%,Używany
Sony Oficjalne etui zamienne na PlayStation 4 / PlayStation 5 (PS4 / PS5),Sprzedane  22 gru 2024,"15,53 zł",z: Wielka Brytania,"mtrentertainmentltd (35 897) 99,9%",Fabrycznie nowy
Konsola Sony PS4 Slim CUH-2015A Playstation 4 TYLKO DO naprawy Przeczytaj opis,Sprzedane  22 gru 2024,"163,44 zł",z: Stany Zjednoczone,tronstreasure (401) 100%,Tylko na części
Sony PlayStation Pro 4 PS4 1TB Puste pudełko tylko z wewnętrznym kartonowym call of duty,Sprzedane  22 gru 2024,"150,81 zł",z: Stany Zjednoczone,"jerseyfan72 (5 532) 98,2%",Używany
Tekken 8 Custom Made Steelbook Case tylko na PS4 / PS5 / Xbox (bez gry) Nowe,Sprzedane  26 lis 2024,"175,90 zł",z: Stany Zjednoczone,"gameracks (589) 99,3%",Fabrycznie nowy
"PRZETESTOWANE/DZIAŁAJĄCE PS4 PlayStation 4 500GB CUH-1001A (Sony, 2013) #2002 Kontrolery",Sprzedane  22 gru 2024,"449,57 zł",z: Stany Zjednoczone,gambit1306 (1 441) 99%,Używany
PRZETESTOWANY-Sony PlayStation 4 -PAKIET-500GB-PS4 Konsola do gier czarna-MODEL-CUH1215A.,Sprzedane  22 gru 2024,"490,44 zł",z: Stany Zjednoczone,mikdixo3 (377) 100%,Używany
"PlayStation 4 PS4 Shenmue I & II 1 i 2 ORYGINALNY zamiennik, TYLKO ETUI + PLAKAT",Sprzedane  22 gru 2024,"35,19 zł",z: Stany Zjednoczone,markgarcia830 (26) 100%,Używany
Sony PlayStation 4 Pro 1TB Low Firmware 10.01 Gry Kontroler kabla zasilającego,Sprzedane  22 gru 2024,"653,88 zł",z: Stany Zjednoczone,mountaintowncomics (186) 100%,Używany
Sony Playstation 4 kamera VR wersja 1 PSVR V1 CUH-ZEY1 Czujnik ruchu Testowany,Sprzedane  22 gru 2024,"139,02 zł",z: Wielka Brytania,"manortel (6 195) 97,6%",Używany
Tylko na PlayStation Rzadki rękaw Slipcover Kompletny pakiet kolekcji (bez gier),Sprzedane  22 gru 2024,"1 798,08 zł",z: Wielka Brytania,retrocollectorjake (1 542) 100%,Fabrycznie nowy
Konsola Sony PlayStation 4 Pro 1 TB z Red Dead Redemption 2 - Jet Black,Sprzedane  22 gru 2024,"898,99 zł",z: Wielka Brytania,"sabrethriftstore (221) 99,5%",Nowy (inny)
Konsola Sony PlayStation 4 Slim 500GB PS4: 3 kontrolery - kable - stacja ładująca,Sprzedane  22 gru 2024,"694,79 zł",z: Stany Zjednoczone,kyle099 (966) 100%,Używany
Shop on eBay,N/A,N/A,N/A,N/A,Brand New
Shop on eBay,N/A,N/A,N/A,N/A,Brand New
🧱 A Way Out Sony PlayStation 4 -Bez gry- Tylko zamienne etui 🧱,Sprzedane  22 gru 2024,"100,49 zł",z: Stany Zjednoczone,"greatwhite2eu (4 112) 99,9%",Nowy (inny)
Konsola Sony PlayStation 4 (PS4) 20th Anniversary szara - zapieczętowana fabrycznie nowa,Sprzedane  22 gru 2024,"8 889,23 zł",z: Stany Zjednoczone,antulok (238) 100%,Fabrycznie nowy
Konsola PlayStation 4 Slim 1 TB z Marvel's Spider-Man - czarna,Sprzedane  22 gru 2024,"465,92 zł",z: Stany Zjednoczone,roberth1212 (1 095) 100%,Używany
NES SNES Retro Duo Retro-Bit 2-w-1 System FC Game Twin Console (NAJNOWSZA WERSJA),Sprzedane  22 gru 2024,"228,83 zł",z: Stany Zjednoczone,"jackswarehouse2010 (81 500) 99,8%",Fabrycznie nowy
"Call Of Duty Black Ops 4 IIII (tylko steelbook, bez gry) Dobry stan, Dent",Sprzedane  21 gru 2024,"45,24 zł",z: Stany Zjednoczone,"mobaholic (3 869) 99,2%",Używany
Konsola Sony PlayStation 4 Slim CAMO CUH-2115B • NA CZĘŚCI/NAPRAWA,Sprzedane  21 gru 2024,"232,96 zł",z: Stany Zjednoczone,orangecountysellers (2 034) 100%,Tylko na części
Star Ocean The Divine Force Custom Made Steelbook Case PS5 / PS4 / Xbox (bez gry),Sprzedane  21 gru 2024,"175,90 zł",z: Stany Zjednoczone,"gameracks (589) 99,3%",Fabrycznie nowy
Gravity Rush Custom Made Steelbook Case tylko na PS4 / PS5 (bez płyty z grą) Nowe,Sprzedane  21 gru 2024,"175,90 zł",z: Stany Zjednoczone,"gameracks (589) 99,3%",Fabrycznie nowy
Astro Bot Custom Made Steelbook Case tylko na PS4 / PS5 / Xbox (bez gry) Nowe,Sprzedane  21 gru 2024,"175,90 zł",z: Stany Zjednoczone,"gameracks (589) 99,3%",Fabrycznie nowy
Kamera SONY PlayStation 4 PS4 VR CUH-ZEY1 Oficjalna oryginalna ze stojakiem,Sprzedane  21 gru 2024,"100,44 zł",z: Stany Zjednoczone,"izzystreasureschest (809) 99,3%",Używany
Konsola Sony PlayStation 4 PS4 Slim System 1 TB kompletna przetestowana działa!,Sprzedane  21 gru 2024,"470,01 zł",z: Stany Zjednoczone,"ricar_fzkv3ocj (710) 93,9%",Używany
Konsola do gier Sony PlayStation 4 Slim 500GB z kontrolerem - czarna,Sprzedane  21 gru 2024,"531,27 zł",z: Stany Zjednoczone,thesignn (87) 100%,Używany
Konsola Sony PlayStation 4 Pro PS4 1TB czarna CUH -7215B,Sprzedane  21 gru 2024,"674,31 zł",z: Stany Zjednoczone,"guitarguybuys (8 015) 99,7%",Używany
Konsola Sony PlayStation 4 Pro 1 TB - czarna (PS4 Pro) [gra wideo] Pakiet systemowy,Sprzedane  21 gru 2024,"1 164,59 zł",z: Stany Zjednoczone,"loothive (478 807) 99,3%",Odnowiony
Konsola do gier Sony PlayStation 4 500GB - czarna,Sprzedane  21 gru 2024,"613,05 zł",z: Stany Zjednoczone,jake-9857 (23) 100%,Używany
Konsola Sony PlayStation 4 PS4 500GB CUH-1001A z pudełkiem (PRZECZYTAJ) PRZETESTOWANA/DZIAŁAJĄCA!,Sprzedane  21 gru 2024,"347,35 zł",z: Stany Zjednoczone,semajvii43 (5 320) 100%,Używany
Sony PlayStation 4 Pro Limitowana edycja Marvel's Spider Man 1 TB Czerwona konsola...,Sprzedane  21 gru 2024,"1 553,06 zł",z: Stany Zjednoczone,backroom_eclectics (112) 100%,Używany
"Sony PlayStation 4 Slim PS4 1TB czarna konsola do gier CUH-2215B-Gry, kontroler",Sprzedane  21 gru 2024,"449,53 zł",z: Stany Zjednoczone,"lmhamil2012 (2 991) 97,4%",Używany
"Konsola Sony PlayStation 4 Pro 1 TB CUH-7115B + przewody kontrolera przetestowane w wersji 11,5",Sprzedane  21 gru 2024,"649,83 zł",z: Stany Zjednoczone,"softlockedgames (789) 98,3%",Używany
Konsola Sony PlayStation 4 Pro 1 TB CUH-7215B - kontroler / gra DARMOWA wysyłka,Sprzedane  21 gru 2024,"694,75 zł",z: Stany Zjednoczone,silveruny (725) 100%,Używany
"Pakiet konsoli Sony PlayStation 4 Pro 1 TB - biały; 2 kontrolery, 16 gier",Sprzedane  21 gru 2024,"1 083,98 zł",z: Wielka Brytania,rrok4652 (2) 0%,Używany
Konsola Sony PS4 PRO 1TB z 1 kontrolerem i grą. Przetestowany.,Sprzedane  21 gru 2024,"744,87 zł",z: Wielka Brytania,pt_1984 (674) 100%,Używany
PlayStation 4 PS4 Game Case MIEŚCI 2 płyty Oryginalne Sony OEM Zamiennik CD DVD Box,Sprzedane  21 gru 2024,"60,27 zł",z: Stany Zjednoczone,"repairandrestore (2 707) 93,9%",Używany
Konsola Sony PlayStation 4 Slim 500GB PS4 z kontrolerem bezprzewodowym OEM VER. 7.55,Sprzedane  21 gru 2024,"527,22 zł",z: Stany Zjednoczone,"softlockedgames (789) 98,3%",Używany
NOWOŚĆ...Sony PlayStation 4 - Oryginalny model aparatu CUH-ZEY2... Fabrycznie zapieczętowany!!,Sprzedane  21 gru 2024,"163,28 zł",z: Stany Zjednoczone,"ah1j (2 872) 99,9%",Fabrycznie nowy
Czujnik kamery SONY PlayStation 4 PS4 VR CUH-ZEY1 Oficjalny oryginalny - bez podstawki,Sprzedane  21 gru 2024,"100,49 zł",z: Stany Zjednoczone,matthew-mathis (386) 100%,Używany
Final Fantasy XVI Custom Made Steelbook Case tylko PS5 / PS4 / Xbox (bez płyty z grą) Nowe,Sprzedane  22 wrz 2024,"175,90 zł",z: Stany Zjednoczone,"gameracks (589) 99,3%",Fabrycznie nowy
Final Fantasy VII Rebirth Custom Made Steelbook Case tylko PS5 / PS4 / Xbox (bez gry),Sprzedane  22 lis 2024,"163,44 zł",z: Stany Zjednoczone,"gameracks (589) 99,3%",Fabrycznie nowy
Konsola domowa Retro-Bit Retro Duo Silver,Sprzedane  21 gru 2024,"163,44 zł",z: Stany Zjednoczone,"tonydealzkc (31) 94,3%",Fabrycznie nowy
PlayStation 4 Slim 1 TB PS4 I 10 GIER MEGA PAKIET! CZYSTE/PRZETESTOWANE! STATKI GRATIS 🔥,Sprzedane  21 gru 2024,"694,75 zł",z: Stany Zjednoczone,theincrediblebulk (1 884) 100%,Używany
PERSONA 5 STEELBOOK ETUI TYLKO NA PLAYSTATION 4 *BEZ PŁYTY DO GRY,Sprzedane  21 gru 2024,"135,68 zł",z: Stany Zjednoczone,alisland (9) 100%,Używany
Battlefield Hardline Sony PlayStation 4 Tylko okładka Art,Sprzedane  21 gru 2024,"22,62 zł",z: Stany Zjednoczone,"gamerz_reality (812) 98,9%",Używany
Sony PlayStation 4 Pro 1 TB czarna konsola system gier CUH-7215B,Sprzedane  21 gru 2024,"490,40 zł",z: Stany Zjednoczone,badgerelectronics (1 603) 96%,Używany
Konsola Sony PlayStation 4 PS4 500 GB Uncharted 4 edycja limitowana + gry. SPRAWDZONE,Sprzedane  21 gru 2024,"653,92 zł",z: Stany Zjednoczone,virginia1quality (9) 100%,Używany
PDP Uniwersalny pilot multimedialny do Playstation 4 PS4 *PRZETESTOWANY*,Sprzedane  21 gru 2024,"163,44 zł",z: Stany Zjednoczone,awesomebrad-vintage (12 574) 100%,Używany
Battlefield V Steelbook Limitowana edycja kolekcjonerska - tylko Steelbook,Sprzedane  20 gru 2024,"2,51 zł",z: Stany Zjednoczone,2015_somoa (84) 100%,Używany
Konsola PlayStation 4 CUH-1215A,Sprzedane  20 gru 2024,"408,66 zł",z: Stany Zjednoczone,jasy8 (289) 100%,Używany
"STEELBOOK: PICK ONE!!! (PS4/XB1) Przedmiot kolekcjonerski, BEZ płyty z grą, używany",Sprzedane  20 gru 2024,"45,19 zł",z: Stany Zjednoczone,sspacs (70) 100%,Nowy (inny)
Sony Playstation 4 PS4 Pro instrukcja szybkiego uruchamiania tylko instrukcja - angielski nowy!,Sprzedane  20 gru 2024,"75,41 zł",z: Stany Zjednoczone,shelfshopper60 (10 607) 100%,Fabrycznie nowy
Do PS4 Slim Extend USB Adapter do konsoli PlayStation 4 Slim USB Hub 2.0 / 3.0,Sprzedane  20 gru 2024,"78,82 zł",z: Chiny,"unxdes (300) 98,5%",Fabrycznie nowy
Sony Playstation 4 PS4 Pro Przewodnik wymiany TYLKO Szybki start i bezpieczeństwo,Sprzedane  20 gru 2024,"35,19 zł",z: Stany Zjednoczone,mariem4993 (445) 100%,Fabrycznie nowy
Konsola Sony PlayStation 4 Slim 1 TB **DZIAŁA** PS4,Sprzedane  20 gru 2024,"500,66 zł",z: Stany Zjednoczone,"yppnl2 (3 920) 99,5%",Używany
Sony PlayStation 4 Slim PS4 1TB czarna konsola system gier CUH-2215B,Sprzedane  20 gru 2024,"531,27 zł",z: Stany Zjednoczone,"tradingpost01 (56 820) 99,3%",Używany
PlayStation PS4 PS5 Zamiennik Przezroczysty Niebieski Oryginalne etui do gry PRZECZYTAJ OPIS,Sprzedane  20 gru 2024,"25,03 zł",z: Stany Zjednoczone,"dgar5699 (1 152) 98,9%",Używany
AKTUALIZACJA PS4 PRO INSTALL USB FLASH DRIVE PLUG IN NAJNOWSZY OFICJALNY FIRMWARE SONY OFW,Sprzedane  20 gru 2024,"54,24 zł",z: Stany Zjednoczone,videogamesandthings (4 228) 99%,Fabrycznie nowy
Czujnik kamery SONY PlayStation 4 PS4 VR CUH-ZEY1 Oficjalny oryginalny - bez podstawki,Sprzedane  20 gru 2024,"125,62 zł",z: Stany Zjednoczone,"chronocollectiblesllc (4 233) 99,8%",Używany
Konsola Sony PS4 PRO 1TB - czarna z kontrolerem God Of War i 2 innymi,Sprzedane  20 gru 2024,"667,81 zł",z: Wielka Brytania,the_qee_master (2 435) 100%,Używany
PlayStation4 PS4 Pro KINGDOM HEARTS III LIMITOWANA EDYCJA Japonia,Sprzedane  20 gru 2024,"1 021,75 zł",z: Japonia,"jatoyo* (14 808) 97,3%",Używany
Konsola do gier Sony PlayStation 4 Slim 500GB z kontrolerem przetestowana działa,Sprzedane  20 gru 2024,"474,05 zł",z: Stany Zjednoczone,"dukebluepokedevil89 (676) 99,4%",Używany
- Uncharted The Nathan Drake Collection PS4 Wymienne etui Tylko wkładka,Sprzedane  20 gru 2024,"28,37 zł",z: Wielka Brytania,"sad-alice (12 068) 99,1%",Fabrycznie nowy
Autentyczne pudełko zastępcze Sony do gier na PlayStation 4 PS4 oryginalna grafika,Sprzedane  20 gru 2024,"45,19 zł",z: Stany Zjednoczone,mycase (6 174) 99%,Nowy (inny)
Puste wymienne etui na gry na PS4 - Sony PlayStation 4 (BEZ GIER W ZESTAWIE) *CZYTAJ*,Sprzedane  20 gru 2024,"40,22 zł",z: Stany Zjednoczone,resolutesales (410) 100%,Używany
Octopath Traveler II 2 TYLKO Steelbook! PS4 PS5 NOWY! ZAPIECZĘTOWANY!,Sprzedane  20 gru 2024,"75,15 zł",z: Stany Zjednoczone,"citrusvalleyhobbies (287) 99,5%",Fabrycznie nowy
Konsola Sony PlayStation 4 Pro 1TB CUH-7215B - Low Firmware 10.01,Sprzedane  20 gru 2024,"919,58 zł",z: Stany Zjednoczone,silveruny (725) 100%,Używany
Zamienne pudełko etui autentyczne Sony PlayStation 4 PS4 *BEZ GRY*,Sprzedane  20 gru 2024,"35,19 zł",z: Stany Zjednoczone,atarisandmore (421) 100%,Używany
PS4 Sony PlayStation 4 Slim 500GB KONSOLA TYLKO CUH-2115B NA CZĘŚCI / NAPRAWĘ,Sprzedane  20 gru 2024,"273,79 zł",z: Stany Zjednoczone,"centralohio1 (32 821) 98,6%",Tylko na części
Konsola do gier Sony PlayStation 4 Slim 500GB z kontrolerem,Sprzedane  20 gru 2024,"531,27 zł",z: Stany Zjednoczone,wewearpieces1 (60) 100%,Używany
Konsola do gier PlayStation 4 Slim + 2 kontrolery DUALSHOCK 4,Sprzedane  20 gru 2024,"449,57 zł",z: Stany Zjednoczone,jakroma7 (61) 100%,Używany
"Sony PlayStation 4 Slim 500GB czarna konsola z 2 kontrolerami, kablem i grami",Sprzedane  20 gru 2024,"613,01 zł",z: Stany Zjednoczone,hyphy.soles (110) 100%,Używany
Tylko konsola Sony PlayStation 4 Pro Death Stranding Edition!!,Sprzedane  20 gru 2024,"613,01 zł",z: Stany Zjednoczone,"pawnusaleland (1 382) 98,6%",Używany
Shop on eBay,N/A,N/A,N/A,N/A,Brand New
Shop on eBay,N/A,N/A,N/A,N/A,Brand New
"Sony PlayStation 4 Slim 500GB czarna konsola z 2 kontrolerami, kablem i grami",Sprzedane  20 gru 2024,"613,01 zł",z: Stany Zjednoczone,hyphy.soles (110) 100%,Używany
Tylko konsola Sony PlayStation 4 Pro Death Stranding Edition!!,Sprzedane  20 gru 2024,"613,01 zł",z: Stany Zjednoczone,"pawnusaleland (1 382) 98,6%",Używany
*PRZETESTOWANE* Sony PlayStation 4 Slim 500GB | Kable i kontroler | CUH-2215B,Sprzedane  20 gru 2024,"531,27 zł",z: Stany Zjednoczone,"variety_goods_store (138) 96,6%",Używany
"Sony PlayStation 4 Slim, PS4 | Konsola i kontroler | CUH-2215B | DARMOWA WYSYŁKA!",Sprzedane  20 gru 2024,"531,27 zł",z: Stany Zjednoczone,"prepa_4130 (5 726) 97,9%",Używany
Sony PlayStation 4 Slim 1 TB Konsola System Pakiet Gra Wszystkie kable CUH-2215B,Sprzedane  20 gru 2024,"551,70 zł",z: Stany Zjednoczone,"guitarguybuys (8 015) 99,7%",Używany
Sony PlayStation 4 Pro STAR WARS: Battlefront II edycja limitowana - 2 TB,Sprzedane  20 gru 2024,"653,92 zł",z: Stany Zjednoczone,rotalugerwolf (305) 100%,Używany
Tylko pudełko - Konsola Sony PlayStation 4 Slim 500GB z Uncharted 4 A Thief's End,Sprzedane  20 gru 2024,"179,34 zł",z: Stany Zjednoczone,dnicole_78 (529) 100%,Nowy (inny)
System SONY PS4 Pro - CUH-7215B - konsola do gier 1 TB - Jet Black - Dualshock 4,Sprzedane  20 gru 2024,"817,40 zł",z: Stany Zjednoczone,weylanyutani_2010 (95) 100%,Używany
Pakiet PlayStation 4 Pro - 2 TB SSD / gry / 2 kontrolery i stacja dokująca,Sprzedane  20 gru 2024,"745,88 zł",z: Stany Zjednoczone,cherrychic (485) 100%,Używany
Sony PS4 slim 500GB biały rzadki niski firmware 9.00 jailbreak,Sprzedane  20 gru 2024,"770,60 zł",z: Wielka Brytania,easypeasy1230 (304) 100%,Używany
Sony PlayStation 4 Slim 1TB CUH-2215B + 6 gier,Sprzedane  20 gru 2024,"551,75 zł",z: Stany Zjednoczone,anilabelco (133) 100%,Używany
"Injustice: Gods Among Us Ultimate Edition (Sony PlayStation 4 PS4, 2013)",Sprzedane  20 gru 2024,"50,22 zł",z: Stany Zjednoczone,"wynwoodsocialclub (2 484) 98,6%",Fabrycznie nowy
Konsola Sony PlayStation 4 500 GB HDD czarna 2014 CUH-1001A,Sprzedane  20 gru 2024,"326,92 zł",z: Stany Zjednoczone,"trreusegroup (82 866) 99,5%",Używany
Konsola do gier Sony PlayStation 4 Slim 500GB - czarna,Sprzedane  20 gru 2024,"224,79 zł",z: Stany Zjednoczone,"aerialvisionchicago (785) 99,7%",Tylko na części
"Sony PlayStation 4 Slim 500GB czarna konsola z kontrolerem, kablem i grami",Sprzedane  20 gru 2024,"572,14 zł",z: Stany Zjednoczone,"dtippets10 (683) 86,6%",Używany
Sony PlayStation 4 Pro 1TB - Jet Black z kontrolerem Sony Camo,Sprzedane  20 gru 2024,"625,27 zł",z: Stany Zjednoczone,richmonddeals (2 980) 99%,Używany
Sony PlayStation PS4: LEGO MOVIE TV LAUNCH EDITION PAKIET Nowy w otwartym pudełku,Sprzedane  20 gru 2024,"919,37 zł",z: Stany Zjednoczone,ozzyscloset307 (51) 100%,Fabrycznie nowy
